InstructorID,Semester,Group,test1,Continuous,Projek,Final,Total,Grade,Fr_File,Fr_Forum
P1,S1-1819,K1,16.5,18.4,17.7,8,60.6,B-,21,2
P1,S1-1819,K1,13,14.1,9.9,15,52,C,19,3
P1,S1-1819,K1,13,18.4,17.7,7,56.1,C+,24,5
P1,S1-1819,K1,6,11.4,15.5,29.5,62.4,B-,54,18
P1,S1-1819,K1,14,11.4,15.5,14,54.9,C+,33,16
P1,S1-1819,K1,20,14.9,17.8,31.5,84.2,A,62,55
P1,S1-1819,K1,19,14.9,17.8,33.5,85.2,A,41,29
P1,S1-1819,K1,11.5,11.4,15.5,27,65.4,B,39,33
P1,S1-1819,K1,18.5,18.2,17.1,35.5,89.3,A,32,30
P1,S1-1819,K1,8.5,14.1,9.9,13,45.5,D+,18,1
P1,S1-1819,K1,10.5,14.1,9.9,14,48.5,C-,33,0
P1,S1-1819,K1,15,10.4,7,20.5,52.9,C,26,4
P1,S1-1819,K1,16,18.2,17.1,23,74.3,B+,45,55
P1,S1-1819,K1,18.5,18.4,17.7,27,81.6,A,78,40
P1,S1-1819,K1,17,18.2,17.1,37,89.3,A,77,30
P1,S1-1819,K1,13.5,14.1,9.9,14,51.5,C,51,1
P1,S1-1819,K1,8,10.4,7,9,34.4,F,27,5
P1,S1-1819,K1,17.5,18.4,17.7,27,80.6,A,66,45
P1,S1-1819,K1,16.5,14.9,17.8,28,77.2,A-,43,38
P1,S1-1819,K1,10.5,10.4,7,19.5,47.4,C-,34,19
P1,S1-1819,K1,11.5,15.4,14.6,12,53.5,C,25,33
P1,S1-1819,K1,11,10.4,7,20.5,48.9,C-,34,0
P1,S1-1819,K1,11,15.4,14.6,25,66,B,66,12
P1,S1-1819,K1,13.5,16.7,16.6,32.5,79.3,A-,59,3
P1,S1-1819,K1,16.5,18.2,16.5,4,55.2,C+,14,20
P1,S1-1819,K1,11,18.2,16.5,16,61.7,B-,19,10
P1,S1-1819,K1,16,18.2,16.5,2.5,53.2,C,12,19
P1,S1-1819,K1,11,18.2,16.5,4,49.7,C,16,17
P1,S1-1819,K1,12,14.3,17.8,18,62.1,B-,42,16
P1,S1-1819,K1,15,14.3,17.8,19,66.1,B,22,18
P1,S1-1819,K1,14,14.3,17.8,33,79.1,A-,25,25
P1,S1-1819,K1,10,16.7,16.6,17,60.3,B-,22,2
P1,S1-1819,K1,11,16.7,16.6,14.5,58.8,C+,26,8
P1,S1-1819,K1,11,16.7,16.6,17,61.3,B-,15,12
P1,S1-20192020,K1,0,0,0,0,0,F,0,0
P1,S1-20192020,K1,0,0,0,0,0,F,0,0
P1,S1-20192020,K1,11.50666667,13,25.33333333,15.5,65.3,B-,0,13
P1,S1-20192020,K1,7,7.8,14.66666667,11.5,41,F,3,6
P1,S1-20192020,K1,11.50666667,12.8,25.33333333,14.5,64.1,B-,0,35
P1,S1-20192020,K1,11.50666667,14.86666667,26.66666667,35,88,A,12,56
P1,S1-20192020,K1,3.506666667,10.06666667,18.66666667,12,44.2,D+,1,4
P1,S1-20192020,K1,11,14.6,26.66666667,21,73.3,B+,8,50
P1,S1-20192020,K1,10,11.8,14.66666667,21.5,58,C+,6,38
P1,S1-20192020,K1,13,14,26.66666667,22.5,76.2,B+,6,67
P1,S1-20192020,K1,16.50666667,12.73333333,26.66666667,13.5,69.4,B,5,73
P1,S1-20192020,K1,15,13.8,25.33333333,29,83.1,A,3,35
P1,S1-20192020,K1,5.506666667,11.73333333,26.66666667,3.5,47.4,D+,0,0
P1,S1-20192020,K1,17,14.26666667,26.66666667,27.5,85.4,A,3,45
P1,S1-20192020,K1,6.506666667,14.86666667,26.66666667,20,68,B,4,47
P1,S1-20192020,K1,12.50666667,13,26.66666667,18,70.2,B,0,0
P1,S1-20192020,K1,8,14.93333333,25.33333333,8.5,56.8,C+,2,19
P1,S1-20192020,K1,15.50666667,14,26.66666667,18,74.2,B+,4,48
P1,S1-20192020,K1,8,10.33333333,20,18,56.3,C+,2,37
P1,S1-20192020,K1,18.50666667,13.53333333,26.66666667,16.5,75.2,B+,0,20
P1,S1-20192020,K1,6.506666667,11.6,26.66666667,23,67.8,B,4,16
P1,S1-20192020,K1,10,14.26666667,26.66666667,12.5,63.4,B-,3,39
P1,S1-20192020,K1,15.50666667,9.866666667,26.66666667,16.5,68.5,B-,6,4
P1,S1-20192020,K1,10,13.13333333,26.66666667,18.5,68.3,B,4,35
P1,S1-20192020,K1,17,8.666666667,18,28.5,72.2,B,8,47
P1,S1-20192020,K1,13.50666667,10.46666667,18,12.5,54.5,C,3,15
P1,S1-20192020,K1,17,14,26.66666667,11.5,69.2,B,0,0
P1,S1-20192020,K1,8,12.73333333,26.66666667,26,73.4,B+,5,28
P1,S1-20192020,K1,13,14.46666667,26.66666667,15.5,69.6,B,0,6
P1,S1-20192020,K1,14,12.53333333,26.66666667,19.5,72.7,B,3,3
P1,S1-20192020,K1,9,14.26666667,26.66666667,17.5,67.4,B,5,74
P1,S1-20192020,K1,15,14.73333333,26.66666667,17.5,73.9,B+,11,67
P1,S1-20192020,K1,16.50666667,13,26.66666667,18.5,74.7,B+,5,23
P1,S1-20192020,K1,9.506666667,14.73333333,26.66666667,21.5,72.4,B+,1,23
P1,S1-20192020,K1,16,16.53333333,26.66666667,17.5,76.7,B+,1,108
