milestone/10, persembahan/5, tot_CPS3/15,akhir/40, milestone/5, penilaian/15, persembahan/5, tot_CPS7/65, milestone/5, projek/15, tot_CPS9/20,totMarks,Fr_File,Fr_Forum,Fr_Overview report,Fr_Page,Fr_System,Fr_URL,Fr_User report,totFreqParticipation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,4.3,11.2,15.5,4,8.63,4.3,32.43,4,15,19,62.63,0,13,0,0,14,0,0,27
4,2.1,6.1,11.5,3.5,5.25,2.1,22.35,3.5,7.5,11,39.45,3,6,0,2,39,2,0,52
6.6,4.3,10.9,14.5,4,8.63,4.3,31.43,4,15,19,61.33,0,35,0,3,15,0,0,53
7.5,4.9,12.4,35,5,8.63,4.9,53.53,5,15,20,85.93,12,56,0,3,56,3,0,130
4.9,3.1,8,12,4,2.63,3.1,21.73,4,10,14,43.73,1,4,0,1,9,0,0,15
7.3,4.8,12.1,21,5,8.25,4.8,39.05,5,15,20,71.15,8,50,0,11,53,5,0,127
10,2.1,12.1,21.5,3.5,7.5,2.1,34.6,3.5,7.5,11,57.7,6,38,0,5,16,3,0,68
6.2,4.9,11.1,22.5,5,9.75,4.9,42.15,5,15,20,73.25,6,67,0,9,54,2,0,138
4.3,4.9,9.2,13.5,5,12.38,4.9,35.78,5,15,20,64.98,5,73,0,3,82,4,0,167
6.9,4.9,11.8,29,4,11.25,4.9,49.15,4,15,19,79.95,3,35,0,2,37,2,0,79
4,4.3,8.3,3.5,5,4.13,4.3,16.93,5,15,20,45.23,0,0,0,0,0,0,0,0
6.6,4.9,11.5,27.5,5,12.75,4.9,50.15,5,15,20,81.65,3,45,0,5,30,2,0,85
7.5,4.9,12.4,20,5,4.88,4.9,34.78,5,15,20,67.18,4,47,0,1,45,2,0,99
4.9,4.8,9.7,18,5,9.38,4.8,37.18,5,15,20,66.88,0,0,0,0,0,0,0,0
10,4.2,14.2,8.5,4,6,4.2,22.7,4,15,19,55.9,2,19,0,2,28,1,0,52
6.2,4.9,11.1,18,5,11.63,4.9,39.53,5,15,20,70.63,4,48,0,16,71,3,0,142
4.3,3.1,7.4,18,5,6,3.1,32.1,5,10,15,54.5,2,37,0,1,31,1,0,72
6.9,4.2,11.1,16.5,5,13.88,4.2,39.58,5,15,20,70.68,0,20,0,0,40,1,0,61
4,4.2,8.2,23,5,4.88,4.2,37.08,5,15,20,65.28,4,16,0,6,35,1,0,62
6.6,4.9,11.5,12.5,5,7.5,4.9,29.9,5,15,20,61.4,3,39,0,4,31,2,0,79
0,4.9,4.9,16.5,5,11.63,4.9,38.03,5,15,20,62.93,6,4,0,6,26,2,0,44
4.9,4.9,9.8,18.5,5,7.5,4.9,35.9,5,15,20,65.7,4,35,0,6,44,3,0,92
7.3,1.1,8.4,28.5,3.5,12.75,1.1,45.85,3.5,10,13.5,67.75,8,47,1,5,58,4,3,126
10,1.1,11.1,12.5,3.5,10.13,1.1,27.23,3.5,10,13.5,51.83,3,15,0,0,15,2,0,35
6.2,4.9,11.1,11.5,5,12.75,4.9,34.15,5,15,20,65.25,0,0,0,0,20,0,0,20
4.3,4.9,9.2,26,5,6,4.9,41.9,5,15,20,71.1,5,28,0,5,125,1,9,173
6.9,4.9,11.8,15.5,5,9.75,4.9,35.15,5,15,20,66.95,0,6,0,0,34,1,0,41
4,4.9,8.9,19.5,5,10.5,4.9,39.9,5,15,20,68.8,3,3,0,0,30,0,0,36
6.6,4.9,11.5,17.5,5,6.75,4.9,34.15,5,15,20,65.65,5,74,0,2,59,2,4,146
7.5,4.8,12.3,17.5,5,11.25,4.8,38.55,5,15,20,70.85,11,67,0,5,61,4,1,149
4.9,4.8,9.7,18.5,5,12.38,4.8,40.68,5,15,20,70.38,5,23,0,0,47,0,0,75
7.3,4.9,12.2,21.5,5,7.13,4.9,38.53,5,15,20,70.73,1,23,0,0,36,1,0,61
10,4.9,14.9,17.5,5,12,4.9,39.4,5,15,20,74.3,1,108,0,1,39,0,3,152
